name	country	code	lat	lng
Chiang Mai	Thailand	THA	18.79997519830	98.98004593810
Chiang Rai	Thailand	THA	19.91187115370	99.82645422260
Chiayi	Taiwan	TWN	23.47545208640	120.43506709700
Chibemba	Angola	AGO	-15.74959552120	14.08000850290
Chibia	Angola	AGO	-15.18962970090	13.69000646840
Chicago	United States	USA	41.82999066070	-87.75005497410
Chiclayo	Peru	PER	-6.76290891635	-79.83658451510
Chico	United States	USA	39.72862021790	-121.83639815500
Chicoutimi	Canada	CAN	48.43330853180	-71.06670638190
Chifeng	China	CHN	42.27001548160	118.94998978600
Chignik	United States	USA	56.29567099930	-158.40222823300
Chihuahua	Mexico	MEX	28.64498150530	-106.08498234200
Chilca	Peru	PER	-12.51961179720	-76.73997766290
Childress	United States	USA	34.42488710430	-100.21391951700
Chilecito	Argentina	ARG	-29.16552081420	-67.49999902510
Chililabombwe	Zambia	ZMB	-12.36959511430	27.81999670280
Chillan	Chile	CHL	-36.60000242230	-72.10599694990
Chilliwack	Canada	CAN	49.16664878240	-121.94998295300
Chilpancingo	Mexico	MEX	17.54997397760	-99.50000960470
Chimaltenango	Guatemala	GTM	14.66199914210	-90.81999850100
Chimbote	Peru	PER	-9.07000323602	-78.56999515960
Chimboy	Uzbekistan	UZB	42.93113791820	59.77075964240
Chimoio	Mozambique	MOZ	-19.12003578810	33.47003942740
Chinandega	Nicaragua	NIC	12.63037762340	-87.13004113950
Chincha Alta	Peru	PER	-13.41960854200	-76.13998844570
Chingola	Zambia	ZMB	-12.53961057650	27.85002071000
Chinhoyi	Zimbabwe	ZWE	-17.35962644570	30.18000768910
Chiniot	Pakistan	PAK	31.71998760890	72.97997920620
Chinsali	Zambia	ZMB	-10.54960284540	32.05999629590
Chipata	Zambia	ZMB	-13.62956988640	32.64001257200
Chiquimula	Guatemala	GTM	14.79699905650	-89.54399653410
Chiquinquira	Colombia	COL	5.62039206840	-73.81994917980
Chiradzulu	Malawi	MWI	-15.70000000000	35.18333330000
Chirala	India	IND	15.86041302380	80.33999507540
Chiramba	Mozambique	MOZ	-16.89210976270	34.65585851920
Chirchiq	Uzbekistan	UZB	41.45497479150	69.55998124070
Chiredzi	Zimbabwe	ZWE	-21.04958209350	31.66002071000
Chiromo	Malawi	MWI	-16.55001178100	35.13324540070
Chisinau	Moldova	MDA	47.00502361970	28.85771113970
Chistopol	Russia	RUS	55.36477174800	50.64067093790
Chitado	Angola	AGO	-17.31962888710	13.92001826850
Chita	Russia	RUS	52.05502545070	113.46500158600
Chitipa	Malawi	MWI	-9.71621702183	33.26664098990
Chitre	Panama	PAN	7.97001609185	-80.42003727390
Chittagong	Bangladesh	BGD	22.32999228820	91.79996740620
Chitungwiza	Zimbabwe	ZWE	-18.00000079470	31.10000321320
Chivilcoy	Argentina	ARG	-34.89995115280	-60.03998925950
Chlef	Algeria	DZA	36.17041363430	1.31996048850
Choele Choel	Argentina	ARG	-39.26660968150	-65.68331404790
Chokurdakh	Russia	RUS	70.61831097330	147.89457963000
Cholpon Ata	Kyrgyzstan	KGZ	42.65133587550	77.08107254930
Choluteca	Honduras	HND	13.30067262670	-87.19081262380
Choma	Zambia	ZMB	-16.80947914750	26.97002274450
Chon Buri	Thailand	THA	13.40040814100	100.99997432400
Chonchi	Chile	CHL	-42.61002317430	-73.80994979010
Chone	Ecuador	ECU	-0.68958453482	-80.09000573900
Chongjin	Korea, North	PRK	41.78461875310	129.78999995800
Chongju	Korea, North	PRK	39.68128460600	125.21632564200
Chongqing	China	CHN	29.56497702940	106.59498164800
Chosan	Korea, North	PRK	40.82547833160	125.80083776800
Chosica	Peru	PER	-11.93003538120	-76.71000533210
Chos Malal	Argentina	ARG	-37.38295204800	-70.26657434250
Chota	Peru	PER	-6.54958860385	-78.65004195320
Choybalsan	Mongolia	MNG	48.06658673000	114.50602331400
Christchurch	New Zealand	NZL	-43.53503131230	172.63002071100
Christiansted	United States	USA	17.75037518210	-64.74998600430
Chukai	Malaysia	MYS	4.23324159639	103.44788692100
Chulucanas	Peru	PER	-5.08957436231	-80.17000085620
