SRC	DST	PRICE	SRC_LAT	SRC_LNG	DST_LAT	DST_LNG
Amsterdam	Glasgow	72	52.3499686881	4.91664017601	55.871944	-4.433056
Amsterdam	Gothenborg	105	52.3499686881	4.91664017601	57.662836	12.279819
Amsterdam	Gran Canaria	143	52.3499686881	4.91664017601	27.931886	-15.386586
Amsterdam	Granada	167	52.3499686881	4.91664017601	37.188731	-3.777356
Amsterdam	Guernsey	131	52.3499686881	4.91664017601	49.434956	-2.601969
Amsterdam	Hamburg	110	52.3499686881	4.91664017601	53.630389	9.988228
Amsterdam	Hannover	417	52.3499686881	4.91664017601	52.461056	9.685078
Amsterdam	Hanoi	360	52.3499686881	4.91664017601	21.221192	105.807178
Amsterdam	Helsinki	106	52.3499686881	4.91664017601	60.317222	24.963333
Amsterdam	Heraklion	117	52.3499686881	4.91664017601	35.339719	25.180297
Amsterdam	Ho Chi Minh City	707	52.3499686881	4.91664017601	10.818797	106.651856
Amsterdam	Hong Kong	1621	52.3499686881	4.91664017601	22.308919	113.914603
Amsterdam	Houston	2817	52.3499686881	4.91664017601	29.984433	-95.341442
Amsterdam	Ibiza	106	52.3499686881	4.91664017601	38.872858	1.373117
Amsterdam	Inverness	78	52.3499686881	4.91664017601	57.5425	-4.0475
Amsterdam	Istanbul	88	52.3499686881	4.91664017601	40.9377375	29.0619125
Amsterdam	Izmir	138	52.3499686881	4.91664017601	38.292392	27.156953
Amsterdam	Jersey	138	52.3499686881	4.91664017601	49.207947	-2.195508
Amsterdam	Kayseri	118	52.3499686881	4.91664017601	38.770386	35.495428
Amsterdam	Keffallinia	136	52.3499686881	4.91664017601	38.120069	20.500481
Amsterdam	Keflavik	113	52.3499686881	4.91664017601	63.985	-22.605556
Amsterdam	Kiev	181	52.3499686881	4.91664017601	50.373346999999995	30.6722095
Amsterdam	Kolkata	699	52.3499686881	4.91664017601	22.654739	88.446722
Amsterdam	Konya	118	52.3499686881	4.91664017601	37.979	32.561861
Amsterdam	Kralendijk	2342	52.3499686881	4.91664017601	12.131044	-68.268511
Amsterdam	Krasnodar	138	52.3499686881	4.91664017601	45.034689	39.170539
Amsterdam	Kuala Lumpur	707	52.3499686881	4.91664017601	2.745578	101.709917
Amsterdam	Kuching	1661	52.3499686881	4.91664017601	1.484697	110.346933
Amsterdam	La Coruna	156	52.3499686881	4.91664017601	43.302061	-8.377256
Amsterdam	Larnaca	468	52.3499686881	4.91664017601	34.875117	33.62485
Amsterdam	Las Palmas	262	52.3499686881	4.91664017601	28.945464	-13.605225
Amsterdam	Leeds	53	52.3499686881	4.91664017601	53.865897	-1.660569
Amsterdam	Lima	1792	52.3499686881	4.91664017601	-12.021889	-77.114319
Amsterdam	Lisbon	56	52.3499686881	4.91664017601	38.781311	-9.135919
Amsterdam	Liverpool	41	52.3499686881	4.91664017601	53.333611	-2.849722
Amsterdam	Ljubliana	422	52.3499686881	4.91664017601	46.223686	14.457611
Amsterdam	London	35	52.3499686881	4.91664017601	51.5781112	-0.1459444
Amsterdam	Los Angeles	2294	52.3499686881	4.91664017601	33.942536	-118.408075
Amsterdam	Lvov	170	52.3499686881	4.91664017601	49.8125	23.956111
Amsterdam	Lyon	122	52.3499686881	4.91664017601	45.726387	5.090833
Amsterdam	Madrid	127	52.3499686881	4.91664017601	40.493556	-3.566764
Amsterdam	Malaga	80	52.3499686881	4.91664017601	36.6749	-4.499106
Amsterdam	Male	555	52.3499686881	4.91664017601	4.191833	73.529128
Amsterdam	Malta	85	52.3499686881	4.91664017601	35.857497	14.4775
Amsterdam	Manchester	45	52.3499686881	4.91664017601	53.353744	-2.27495
Amsterdam	Marrakech	164	52.3499686881	4.91664017601	31.606886	-8.0363
Amsterdam	Marseille	155	52.3499686881	4.91664017601	43.435555	5.213611
Amsterdam	Menorca	176	52.3499686881	4.91664017601	39.862597	4.218647
Amsterdam	Miami	1796	52.3499686881	4.91664017601	25.79325	-80.290556
Amsterdam	Milan	196	52.3499686881	4.91664017601	45.445103	9.276739
Amsterdam	Milano	47	52.3499686881	4.91664017601	45.630606	8.728111
Amsterdam	Minneapolis	2366	52.3499686881	4.91664017601	44.881956	-93.221767
Amsterdam	Moscow	135	52.3499686881	4.91664017601	55.7363565	37.499193749999996
Amsterdam	Mumbai	699	52.3499686881	4.91664017601	19.088686	72.867919
Amsterdam	Munich	150	52.3499686881	4.91664017601	48.353783	11.786086
